genome_id,source,organism,genus,species,strain,closest_placement_reference
GCF_000253235.1,ncbi,,,,ATCC 10712,
GCF_001592685.1,ncbi,,,,WAC04657,
GCF_001886595.1,ncbi,,,,NRRL B-65442,
GCF_002943895.1,ncbi,,,,WAC00288,
GCF_003116715.1,ncbi,,,,CS081A,
GCF_008634015.1,ncbi,,,,ATCC 23958,
GCF_008639045.1,ncbi,,,,ATCC 21113,
GCF_008639165.1,ncbi,,,,ATCC 10712,
GCF_008642375.1,ncbi,,,,ATCC 15068,
GCF_008705255.1,ncbi,,,,ATCC 10595,
GCF_009299385.1,ncbi,,,,ATCC 19740,
GCF_009862215.1,ncbi,,,,SID7814,
GCF_011758705.1,ncbi,,,,DSM 41512,
GCF_014654895.1,ncbi,,,,JCM 4122,
GCF_015710995.1,ncbi,,,,ATCC 15439,
GCF_017877015.1,ncbi,,,,PvR006,
GCF_019733325.1,ncbi,,,,Z1-26,
GCF_021044745.1,ncbi,,,,MBT42,